movie_id,movie_name,director_name,hero_name,heroine_name,music_director,genre_id,producer_name,duration,budget,ott_id,rating,language,crew_cast,release_date
13374,rate,Megan Ferguson,Juan,Diana,Michael Collins,12,Teresa Bradley DVM,2:59:00,1331507.0,5,7.0,telugu,Melanie Thomas,2006-06-30
10146,pretty,Kelly Carney,Curtis,Danielle,Kathleen Anderson,5,John Jackson,3:42:00,339532.0,4,7.7,kannada,Clinton Orozco,2016-09-05
23024,before,David Phillips,Jesse,Debbie,Cody Mckee,4,John Gomez,3:36:00,8050722.0,9,3.7,kannada,Joshua Buckley,2022-03-05
20708,note,Joel Hernandez,Sean,Brittany,Thomas Mitchell,2,Samantha White,2:37:00,5843108.0,7,9.5,malayalam,Dawn Brown,2009-02-13
20164,simply,Christopher Morrison,David,Stephanie,Toni Kent,7,Jennifer Sanchez,3:36:00,7953567.0,1,9.6,malayalam,Frank Miller,2023-12-13
1715,administration,Jenna Silva,Eric,Elizabeth,Kathleen Rhodes,5,,3:26:00,1400633.0,10,5.2,telugu,Lauren Mccoy,2022-10-13
21841,another,Michael Taylor,Sean,Jennifer,Joseph Hoover,11,Michelle Nelson,2:54:00,6147232.0,5,6.9,malayalam,Billy Jacobs,
717,poor,Aaron Conway,Brian,Whitney,Cheryl Joseph,11,Deborah Wood,3:03:00,974786.0,1,9.1,english,Valerie Stanley,2011-02-28
10653,deal,Danielle Johnson,John,Jeanne,Steven Lyons,2,,3:47:00,9414762.0,8,7.4,telugu,Julie Smith,2023-02-10
20291,western,Brian Walton,Phillip,Holly,Andrew Day,12,Barry Diaz,2:55:00,,1,4.1,english,Ms. Michelle Wood,2004-09-07
1382,create,Anthony Kelley,Daniel,Denise,Carolyn Young,4,Stephen Blankenship,3:12:00,8463752.0,5,7.6,telugu,Angela Fry,2017-03-03
656,fund,Ashley Ellis,Seth,Gloria,Robert York,11,Arthur Conley,2:58:00,8013909.0,5,2.9,malayalam,Daniel Allen,2021-12-18
4409,care,Brian Fields,Joseph,Christy,Anna Crawford,11,,2:46:00,,8,4.6,telugu,Joe Ingram,2010-07-11
8810,adult,Rebecca Norman,Robert,Laura,Caroline Roberts,4,Lisa Freeman,3:31:00,7659876.0,8,3.5,malayalam,Brenda Williams,2015-05-23
19156,subject,Michael Ortiz,Robert,Kristin,Elizabeth Graham,5,Kim Lewis,2:31:00,1009169.0,6,6.3,hindi,James Dixon,2009-03-06
12260,speech,Tiffany Roach,Noah,Melanie,Carmen Taylor,5,Scott Garza,3:43:00,1715855.0,9,5.2,malayalam,Michelle Burke,2007-08-02
15303,building,Jerry Cooper,Dustin,Erika,Jennifer Stokes,12,Stacey Kelly,3:21:00,2161253.0,6,10.0,malayalam,Gregory Nichols,2012-12-03
12580,best,Aaron Hughes,Phillip,Kiara,Joshua Ellison,2,Andrew Weeks,2:51:00,7897425.0,5,9.4,english,Vanessa Hoover,2023-08-26
4704,become,James Calderon,Thomas,Kelsey,Samantha Calderon,2,Julie Monroe,2:59:00,2527029.0,2,9.9,english,Ariel Bailey,2023-12-22
9675,strong,Tammy Morris,Todd,Megan,Brad Davis,10,Carlos Walsh,3:07:00,9940816.0,9,4.9,malayalam,Renee Olsen,2020-03-27
1339,director,Kelsey Houston,Ronald,Crystal,Cindy Gould,10,Jesse White,3:16:00,6451524.0,6,8.6,hindi,Samuel Trujillo,2010-04-26
3235,and,Dennis Patel,Colin,Tina,Philip Hurst,12,Susan Jackson,3:16:00,8897880.0,7,3.5,english,Casey Montgomery,2004-10-21
6326,big,Mark Lee,Frank,Gina,Michael Green,6,Monique Williams,2:58:00,8161146.0,6,9.4,kannada,Monica Reed,2004-11-19
3616,ball,Leah Jackson DDS,Zachary,Yolanda,Kathy May,2,Cindy Montgomery,2:47:00,5713889.0,7,9.2,english,Brooke Lewis,2006-05-20
2799,result,Taylor Watson,Timothy,Jessica,Dylan Fitzgerald,9,Tammy Todd,2:57:00,9920271.0,8,2.1,english,Cynthia Reed MD,2022-09-10
22171,free,Diana Davis,Derek,Amanda,Robin Montgomery,3,Albert Smith,3:15:00,1537197.0,6,3.9,malayalam,Elizabeth Moore,2009-07-29
14258,candidate,Michael Wolfe,Edward,Breanna,Carla Romero,12,Carolyn Potter,3:16:00,6283820.0,8,9.5,english,Joseph Clark,2007-03-24
18500,particularly,Charlene Lyons,Kirk,Kristy,Lisa Maldonado,8,Kelsey Valencia,3:23:00,8938921.0,2,2.0,telugu,Megan Wilson,2009-09-14
999,without,Rodney Carr,Billy,Michele,Shelly Myers,6,Jenny Aguilar,3:49:00,4655894.0,5,5.4,hindi,Melvin Mcintyre,2008-02-13
7153,truth,Kayla Martinez,Sean,Kristen,Travis Romero,5,Eddie Smith,2:33:00,247511.0,5,4.9,hindi,Amy Yoder,2021-12-01
794,rule,George Hall,Eric,Loretta,Derek Torres,11,,2:34:00,9913190.0,4,5.8,malayalam,Michael Farrell,2008-12-01
18359,director,Robert Watson,Raymond,Michele,Monica Murphy,7,Sara Santos,2:32:00,8488508.0,6,9.8,malayalam,Dr. Jose Hunt,2011-03-01
14710,pressure,Erin Jimenez,Joseph,Toni,Carmen Robbins,8,Glenn Ford,2:32:00,7086449.0,5,2.1,kannada,Adriana Herrera,
15600,add,Mrs. Kelsey Hobbs MD,Steven,Stephanie,Erin Diaz,5,,3:43:00,900182.0,1,3.0,english,Rebecca Burgess,2010-12-28
19393,change,Christopher Morales,Alex,Valerie,Garrett Young II,1,Rachel Hernandez,3:42:00,6418658.0,9,4.1,english,Nicole Nguyen,2011-01-27
12570,chair,Roger Turner,Jeffrey,Katherine,Priscilla Hunter,4,Dr. Greg Whitaker MD,3:05:00,4438889.0,7,3.7,malayalam,Luis Thomas,2014-05-27
13276,drive,Christopher York,Ethan,Kimberly,Carl Olsen,7,,2:59:00,4415444.0,10,2.1,malayalam,Karen Estrada,2018-02-22
23847,so,Brian Cervantes MD,Eric,Karen,Steven Pena,12,April Simmons,2:36:00,4954387.0,6,6.9,kannada,Mary Dillon,2015-08-19
13041,together,Margaret Smith,Travis,Christine,Jennifer Johns,10,Melissa Stokes,3:11:00,2749311.0,5,4.5,hindi,Jennifer Brown,2012-03-26
16677,where,Sarah French,James,Jennifer,Logan Meza,10,Ashley Booker,3:20:00,9764382.0,4,6.2,hindi,Susan Campbell,2019-01-07
2119,generation,Jordan Thompson,Tanner,Linda,Thomas Gregory,10,Sabrina Burke,3:35:00,8399721.0,10,7.3,kannada,Phillip Lewis,2020-09-20
21760,oil,Stephanie Clay,Mark,Sara,James Garcia,4,Eric Roach,2:53:00,2337098.0,5,2.2,kannada,Gregory Pollard,2017-03-10
24105,treat,Bryan Robinson,Lawrence,Ashley,Hannah Dodson,9,Jamie Roberts,2:53:00,5107457.0,6,5.3,hindi,Cynthia Davis,
6291,evening,Kathryn Smith,Charles,Tiffany,David Barnes,2,Tiffany Washington,3:37:00,9420564.0,3,8.0,hindi,Robert Pearson,2019-11-20
15621,machine,Dawn White,Jacob,Jennifer,Michael Brooks,8,Jonathon Haynes,3:50:00,8969638.0,6,8.8,kannada,Jonathan Morgan,
19598,six,Debra Anderson,Brian,Anna,Lisa Walker,10,,3:36:00,8833388.0,6,2.5,malayalam,Jessica Ellis,2019-09-01
2882,down,Brenda Mcbride,Daniel,Jessica,Derek Hall,2,Justin Carter,3:08:00,6070823.0,8,2.1,kannada,Hailey Torres,
4008,product,Heather Williamson,Derek,Jennifer,Robert Simmons,2,Alison Barry,2:59:00,9227815.0,7,3.9,telugu,Summer Shields,
6795,second,Jacob Riddle,Steven,Victoria,Michael Hamilton,1,David Harris,2:47:00,3934149.0,3,7.8,malayalam,Patricia Martin,2019-09-02
11765,increase,Todd Guzman,Sean,Bonnie,Joshua Smith,6,Julie Marquez,3:22:00,2403568.0,4,2.3,kannada,Margaret Gutierrez,2005-01-25
20533,sort,David Cardenas,Eric,Anne,Tina Novak,11,,2:45:00,3570557.0,4,7.0,hindi,Tommy Silva,2021-11-21
16124,thousand,Samantha Owens,Joseph,Shannon,Todd Watkins,5,Angel Stevens,3:28:00,2084365.0,6,4.5,kannada,Manuel Eaton,2023-07-30
1112,music,William Brady,Jason,Stephanie,Matthew Flores,8,Jessica Cruz,3:14:00,5041407.0,5,4.3,kannada,Cole Young,2006-01-05
8324,billion,Heather Walters,Jose,Ashley,Emily Jensen,8,Jessica Ramirez,2:35:00,5270127.0,4,9.1,english,Pamela Marquez,
